;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
D,Sucrose\A_03A_1603,FCV-23-02-02 RECIRC/SPRAYBALL CONTROL VALVE FOR TK-23-02-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FCV230202_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03A_1700,FCV-23-03-01 TANK FILL/UV VENT CONTROL VALVE FOR TK-23-03-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FCV230301_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03A_1701,FCV-23-03-02 RECIRC/SPRAYBALL CONTROL VALVE FOR TK-23-03-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FCV230302_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03A_1702,SPARE SV,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,A_03A_1702,A,,,,,,
D,Sucrose\A_03A_1703,SPARE SV,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,A_03A_1703,A,,,,,,
D,Sucrose\A_03B_1400,PSV-23-01-01 PRESSURE SAFETY VALVE FOR P-23-01-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,PSV230101_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03B_1401,PSV-23-01-02 PRESSURE SAFETY VALVE FOR P-23-01-02 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,A_03B_1401,A,,,,,,
D,Sucrose\A_03B_1402,FV-62-01-06 CIP RETURN DRAIN VALVE FOR P-62-02-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV620106_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03B_1403,FV-23-01-03 SUCROSE TANK OUTLET VALVE FOR TK-23-01-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230103_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03B_1500,FV-23-02-03 SUCROSE TANK OUTLET VALVE FOR TK-23-02-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230203_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03B_1501,FV-23-03-03 SUCROSE TANK OUTLET VALVE FOR TK-23-03-01 ENERGIZE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230303_AOI.HMI_Opened,A,,,,,,
D,Sucrose\A_03B_1502,SPARE SV,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,A_03B_1502,A,,,,,,
D,Sucrose\A_03B_1503,SPARE SV,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,A_03B_1503,A,,,,,,
A,Sucrose\AI_02A_2300,FM-23-01-04 SUCROSE RETURN FLOW RATE 0-200 gpm,F,D,*,F,F,I,F,0,800,0,1,0,0,,,,,,,Sucrose,AI_C02_3[0],A,,,,,,
A,Sucrose\AI_02A_2301,SPARE ANALOG INPUT,F,D,*,F,F,I,F,0,200,0,1,0,0,,,,,,,Sucrose,AI_02A_2301,A,,,,,,
A,Sucrose\AI_02A_2302,TIT-76-01-01 HEAT TRANSFER INLET TEMPERATURE TRANSMITTER FOR TK-23-01-01 0-300 F,F,D,*,F,F,I,F,0,300,0,1,0,0,,,,,,,Sucrose,AI_C02_3[2],A,,,,,,
A,Sucrose\AI_02A_2303,TIT-76-02-01 HEAT TRANSFER INLET TEMPERATURE TRANSMITTER FOR TK-23-02-01 0-300 F,F,D,*,F,F,I,F,0,300,0,1,0,0,,,,,,,Sucrose,AI_C02_3[3],A,,,,,,
A,Sucrose\AI_02A_2304,TIT-76-03-01 HEAT TRANSFER INLET TEMPERATURE TRANSMITTER FOR TK-23-03-01 0-300 F,F,D,*,F,F,I,F,0,300,0,1,0,0,,,,,,,Sucrose,AI_C02_3[4],A,,,,,,
A,Sucrose\AI_02A_2305,SPARE ANALOG INPUT,F,D,*,F,F,I,F,0,100,0,1,0,0,,,,,,,Sucrose,AI_02A_2305,A,,,,,,
A,Sucrose\AI_02A_2306,SPARE ANALOG INPUT,F,D,*,F,F,I,F,0,100,0,1,0,0,,,,,,,Sucrose,AI_02A_2306,A,,,,,,
A,Sucrose\AI_02A_2307,SPARE ANALOG INPUT,F,D,*,F,F,I,F,0,100,0,1,0,0,,,,,,,Sucrose,AI_02A_2307,A,,,,,,
A,Sucrose\AI_02A_2400,TIT-23-01-01 TEMPERATURE TRANSMITTER FOR TK-23-01-01,F,D,*,F,F,I,F,0,300,0,1,0,0,,,,,,,Sucrose,AI_E20_1[0],A,,,,,,
A,Sucrose\AI_02A_2401,TIT-23-02-01 TEMPERATURE TRANSMITTER FOR TK-23-02-01,F,D,*,F,F,I,F,0,300,0,1,0,0,,,,,,,Sucrose,AI_E20_1[1],A,,,,,,
A,Sucrose\AI_02A_2402,TIT-23-03-01 TEMPERATURE TRANSMITTER FOR TK-23-03-01,F,D,*,F,F,I,F,0,300,0,1,0,0,,,,,,,Sucrose,AI_E20_1[2],A,,,,,,
A,Sucrose\AI_02A_2403,LT-23-01-01 LEVEL TRANSMITTER FOR TK-23-01-01,F,D,*,F,F,I,F,0,100,0,1,0,0,,,,,,,Sucrose,AI_E20_0[0],A,,,,,,
A,Sucrose\AI_02A_2403lbs,lbs of sucrose in tank,F,D,*,F,F,I,F,0,66318,0,1,0,0,,,,,,,SUCROSE,AI_02A_2403,A,,,,,,
A,Sucrose\AI_02A_2404,LT-23-02-01 LEVEL TRANSMITTER FOR TK-23-02-01,F,D,*,F,F,I,F,0,100,0,1,0,0,,,,,,,Sucrose,AI_E20_0[1],A,,,,,,
A,Sucrose\AI_02A_2405,LT-23-03-01 LEVEL TRANSMITTER FOR TK-23-03-01,F,D,*,F,F,I,F,0,100,0,1,0,0,,,,,,,Sucrose,AI_E20_0[2],A,,,,,,
A,Sucrose\AI_02A_2406,SPARE ANALOG INPUT,F,D,*,F,F,I,F,0,100,0,1,0,0,,,,,,,Sucrose,AI_02A_2406,A,,,,,,
A,Sucrose\AI_02A_2407,PIT-23-01-01 PRESSURE TRANSMITTER FOR BPV-23-01-01 0-150 psi,F,D,*,F,F,I,F,0,150,0,1,0,0,,,,,,,Sucrose,AI_C02_4[7],A,,,,,,
A,Sucrose\AI_E20_1_0,,F,D,*,F,F,I,L,0,10000,0,1,0,0,,,,,,,SUCROSE,AI_E20_1[0],A,,,,,,
A,Sucrose\AI_E20_1_1,,F,D,*,F,F,I,L,0,10000,0,1,0,0,,,,,,,SUCROSE,AI_E20_1[1],A,,,,,,
A,Sucrose\AI_E20_1_2,,F,D,*,F,F,I,L,0,10000,0,1,0,0,,,,,,,SUCROSE,AI_E20_1[2],A,,,,,,
D,Sucrose\Airblow_Active,,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,SUCROSE,SucroseFiltration.BIT_Logic[1].17,A,,,,,,
A,Sucrose\AIT620101,CIP RETURN CONDUCTIVITY TRANSMITTER,F,D,*,F,F,D,L,0,100,0,1,0,0,,,,,,,SUCROSE_CIP,AI_E20_1[1],A,,,,,,
D,Sucrose\ALARM_ACK,ALARM ACKNOWLEDGE BIT,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALARM_ACK_SUCROSE,A,,,,,,
D,Sucrose\ALM_LATCH_BATCH_1_COMMERROR,COMMUNICATION ERROR WITH BATCHING #1 PLC ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,SUCROSE,ALM_LATCH_BATCH_1_COMMERROR,A,,,,,,
D,Sucrose\ALM_LATCH_BATCH_2_COMMERROR,COMMUNICATION ERROR WITH BATCHING #2 PLC ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,SUCROSE,ALM_LATCH_BATCH_2_COMMERROR,A,,,,,,
D,Sucrose\ALM_LATCH_CIP_1_COMMERROR,COMMUNICATION ERROR WITH CIP #1 PLC ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,SUCROSE,ALM_LATCH_CIP_1_COMMERROR,A,,,,,,
D,Sucrose\ALM_LATCH_CIP_2_COMMERROR,COMMUNICATION ERROR WITH CIP #2 PLC ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,SUCROSE,ALM_LATCH_CIP_2_COMMERROR,A,,,,,,
D,Sucrose\ALM_LATCH_CIP_3_COMMERROR,COMMUNICATION ERROR WITH CIP #3 PLC ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,SUCROSE,ALM_LATCH_CIP_3_COMMERROR,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_01_01,SUCROSE SUPPLY VALVE TO TK-23-01-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230101_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_01_02,SUCROSE RECIRC VALVE TO TK-23-01-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230102_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_01_04,TK-23-01-01 OUTLET MANIFOLD VALVE TO P-23-01-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230104_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_01_05,TK-23-01-01 OUTLET MANIFOLD VALVE TO P-23-01-02 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230105_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_02_01,SUCROSE SUPPLY VALVE TO TK-23-02-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230201_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_02_02,SUCROSE RECIRC VALVE TO TK-23-02-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230202_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_02_04,TK-23-02-01 OUTLET MANIFOLD VALVE TO P-23-01-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230204_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_02_05,TK-23-02-01 OUTLET MANIFOLD VALVE TO P-23-01-02 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230205_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_03_01,SUCROSE SUPPLY VALVE TO TK-23-03-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230301_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_03_02,SUCROSE RECIRC VALVE TO TK-23-03-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230302_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_03_04,TK-23-03-01 OUTLET MANIFOLD VALVE TO P-23-01-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230304_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_03_05,TK-23-03-01 OUTLET MANIFOLD VALVE TO P-23-01-02 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230305_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_04_04,SUCROSE DISTRIBUTION VALVE FROM P-23-01-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230404_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_04_05,SUCROSE DISTRIBUTION VALVE FROM P-23-01-02 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230405_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_23_06_13,,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV230613_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_01_01,CIP #2 SUPPLY VALVE TO TK-23-01-01 FILL ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610101_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_01_02,CIP #2 SUPPLY VALVE TO TK-23-01-01 RECIRC ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610102_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_02_01,CIP #2 SUPPLY VALVE TO TK-23-02-01 FILL ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610201_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_02_02,CIP #2 SUPPLY VALVE TO TK-23-02-01 RECIRC ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610202_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_03_01,CIP #2 SUPPLY VALVE TO TK-23-03-01 FILL ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610301_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_03_02,CIP #2 SUPPLY VALVE TO TK-23-03-01 RECIRC ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610302_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_04_01,CIP #2 SUPPLY VALVE TO P_23_01_01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610401_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_04_02,CIP #2 SUPPLY VALVE TO P_23_01_02 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610402_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_04_04,CIP #2 SUPPLY VALVE TO TANK OUTLET MANIFOLD ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610404_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_61_05_01,CIP SUPPLY TO RING MAIN ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV610501_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_62_01_01,CIP #3 RETURN VALVE FROM TANK FILL MANIFOLD ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV620101_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_62_01_02,CIP #2 RETURN VALVE FROM TANK RECIRC MANIFOLD ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV620102_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_62_01_03,CIP #2 RETURN VALVE FROM TK-23-01-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV620103_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_62_01_04,CIP #2 RETURN VALVE FROM TK-23-02-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV620104_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_62_01_05,CIP #2 RETURN VALVE FROM TK-23-03-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV620105_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_62_04_01,,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,SUCROSE,FV620401_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_FV_62_04_02,,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,FV620402_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_HEADER_HIGH_PRESSURE,SUCROSE HEADER HIGH PRESSURE  ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HEADER_HIGH_PRESSURE,A,,,,,,
D,Sucrose\ALM_LATCH_HEADER_LOW_FLOW,SUCROSE HEADER LOW FLOW  ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HEADER_LOW_FLOW,A,,,,,,
D,Sucrose\ALM_LATCH_HEADER_LOW_PRESSURE,SUCROSE HEADER LOW PRESSURE  ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HEADER_LOW_PRESSURE,A,,,,,,
D,Sucrose\ALM_LATCH_HTR_76_01_01_HIGH_TEMP,HTR_76_01_01 HIGH TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HTR_76_01_01_HIGH_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_HTR_76_01_01_LOW_FLOW,HTR_76_01_01 LOW FLOW ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HTR_76_01_01_LOW_FLOW,A,,,,,,
D,Sucrose\ALM_LATCH_HTR_76_01_01_LOW_TEMP,HTR_76_01_01 LOW TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HTR_76_01_01_LOW_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_HTR_76_02_01_HIGH_TEMP,HTR_76_02_01 HIGH TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HTR_76_02_01_HIGH_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_HTR_76_02_01_LOW_FLOW,HTR_76_02_01 LOW FLOW ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HTR_76_02_01_LOW_FLOW,A,,,,,,
D,Sucrose\ALM_LATCH_HTR_76_02_01_LOW_TEMP,HTR_76_02_01 LOW TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HTR_76_02_01_LOW_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_HTR_76_03_01_HIGH_TEMP,HTR_76_03_01 HIGH TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HTR_76_03_01_HIGH_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_HTR_76_03_01_LOW_FLOW,HTR_76_03_01 LOW FLOW ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HTR_76_03_01_LOW_FLOW,A,,,,,,
D,Sucrose\ALM_LATCH_HTR_76_03_01_LOW_TEMP,HTR_76_03_01 LOW TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_HTR_76_03_01_LOW_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_NO_READY_TANK,NO SUCROSE TANK  READY FOR DISCHARGE SUCROSE HEADER WAITING ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_NO_READY_TANK,A,,,,,,
D,Sucrose\ALM_LATCH_P_23_01_01,P-23-01-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,P230101_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_P_23_01_02,P-23-01-02 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,P230102_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_P_62_01_01,P-62-01-01 ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,P620101_AOI.ALM,A,,,,,,
D,Sucrose\ALM_LATCH_PROCESS_3_4_COMMERROR,COMMUNICATION ERROR WITH PROCESS #3/#4 PLC ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_PROCESS_3_4_COMMERROR,A,,,,,,
D,Sucrose\ALM_LATCH_SUCROSE_HEADER,BOTH HEADER PATHS HAVE ACTIVE ALARMS,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_SUCROSE_HEADER,A,,,,,,
D,Sucrose\ALM_LATCH_TK_23_01_01_HIGH_LEVEL,TK_23_01_01 SELECTED TANK TOO FULL TO RECEIVE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_TK_23_01_01_HIGH_LEVEL,A,,,,,,
D,Sucrose\ALM_LATCH_TK_23_01_01_HIGH_TEMP,TK_23_01_01 HIGH TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_TK_23_01_01_HIGH_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_TK_23_01_01_LOW_TEMP,TK_23_01_01 LOW TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_TK_23_01_01_LOW_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_TK_23_02_01_HIGH_LEVEL,TK_23_02_01 SELECTED TANK TOO FULL TO RECEIVE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_TK_23_02_01_HIGH_LEVEL,A,,,,,,
D,Sucrose\ALM_LATCH_TK_23_02_01_HIGH_TEMP,TK_23_02_01 HIGH TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_TK_23_02_01_HIGH_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_TK_23_02_01_LOW_TEMP,TK_23_02_01 LOW TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_TK_23_02_01_LOW_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_TK_23_03_01_HIGH_LEVEL,TK_23_03_01 SELECTED TANK TOO FULL TO RECEIVE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_TK_23_03_01_HIGH_LEVEL,A,,,,,,
D,Sucrose\ALM_LATCH_TK_23_03_01_HIGH_TEMP,TK_23_03_01 HIGH TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_TK_23_03_01_HIGH_TEMP,A,,,,,,
D,Sucrose\ALM_LATCH_TK_23_03_01_LOW_TEMP,TK_23_03_01 LOW TEMPERATURE ALARM LATCH,F,D,*,T,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_LATCH_TK_23_03_01_LOW_TEMP,A,,,,,,
D,Sucrose\ALM_TIMER_FV_23_01_01,SUCROSE SUPPLY VALVE TO TK-23-01-01 ALARM TIMER,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,Sucrose,ALM_TIMER_FV_23_01_01,A,,,,,,
